SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054904_797_3E352Y_28/stream_20230622_054904_7970.gz,QUOTELINEITEMS_20230622_054904_797_28,2023-06-22 03:49:23.544 -0700,PARTIALLY_LOADED,1937,2000,User character length limit (200) exceeded by string 'Buy More Save More promotion ends February 28th. Tax to be determined. Price for cushions will change',11,155,""QUOTELINEITEMS_20230622_054904_797_28""[""DESCRIPTION"":7],63,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054842_238_IZ0EF7_27/stream_20230622_054842_2380.gz,QUOTELINEITEMS_20230622_054842_238_27,2023-06-22 03:49:03.660 -0700,PARTIALLY_LOADED,1921,1996,User character length limit (200) exceeded by string 'Pricing: (1) Does not include applicable taxes or freight.; (2) Valid through 3/14/21 (price increase',10,152,""QUOTELINEITEMS_20230622_054842_238_27""[""DESCRIPTION"":7],75,1996
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054819_980_10COTF_26/stream_20230622_054819_9800.gz,QUOTELINEITEMS_20230622_054819_980_26,2023-06-22 03:48:40.962 -0700,PARTIALLY_LOADED,1922,1999,User character length limit (200) exceeded by string 'Estimated 10-12 week lead time. Price will change if different grade of fabric is selected or piping ',44,156,""QUOTELINEITEMS_20230622_054819_980_26""[""DESCRIPTION"":7],77,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054800_359_S1DEG7_25/stream_20230622_054800_3590.gz,QUOTELINEITEMS_20230622_054800_359_25,2023-06-22 03:48:18.460 -0700,PARTIALLY_LOADED,1923,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 10/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS &'",16,155,""QUOTELINEITEMS_20230622_054800_359_25""[""DESCRIPTION"":7],77,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054741_671_GUKPT7_24/stream_20230622_054741_6710.gz,QUOTELINEITEMS_20230622_054741_671_24,2023-06-22 03:47:58.942 -0700,PARTIALLY_LOADED,1923,1998,User character length limit (200) exceeded by string 'Add 3-4% for surcharge starting 4/1 Cushions on dining 4-6 weeks Deep seating cushions the end of Jun',37,155,""QUOTELINEITEMS_20230622_054741_671_24""[""DESCRIPTION"":7],75,1998
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054719_309_FJVSX4_23/stream_20230622_054719_3090.gz,QUOTELINEITEMS_20230622_054719_309_23,2023-06-22 03:47:40.165 -0700,PARTIALLY_LOADED,1944,2000,User character length limit (200) exceeded by string 'Backordered items with estimated arrival dates listed. Dates subject to change. Tax to be determined.',13,154,""QUOTELINEITEMS_20230622_054719_309_23""[""DESCRIPTION"":7],56,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054701_115_77Q7G5_22/stream_20230622_054701_1150.gz,QUOTELINEITEMS_20230622_054701_115_22,2023-06-22 03:47:17.807 -0700,PARTIALLY_LOADED,1918,1997,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/13/21, ALL ORDERS ARE SUBJECT TO A 5% INTERNATIONAL MATERIALS & F'",10,155,""QUOTELINEITEMS_20230622_054701_115_22""[""DESCRIPTION"":7],79,1997
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054638_916_TL0X8F_21/stream_20230622_054638_9160.gz,QUOTELINEITEMS_20230622_054638_916_21,2023-06-22 03:46:59.554 -0700,PARTIALLY_LOADED,1906,2000,"User character length limit (200) exceeded by string 'FREIGHT & TAX ARE TBD.  BEGINNING 9/21/21, ALL ORDERS ARE SUBJECT TO A 10% INTERNATIONAL MATERIALS & '",29,155,""QUOTELINEITEMS_20230622_054638_916_21""[""DESCRIPTION"":7],94,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054620_223_EA66RX_20/stream_20230622_054620_2230.gz,QUOTELINEITEMS_20230622_054620_223_20,2023-06-22 03:46:37.400 -0700,PARTIALLY_LOADED,1890,1999,User character length limit (200) exceeded by string 'Please reopen at Designer pricing. I approve even though we are under $3000.00 New CC Wavier has been',13,156,""QUOTELINEITEMS_20230622_054620_223_20""[""DESCRIPTION"":7],109,1999
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/QUOTELINEITEMS/INSERT/20230622_054558_110_LBWNK2_19/stream_20230622_054558_1100.gz,QUOTELINEITEMS_20230622_054558_110_19,2023-06-22 03:46:18.754 -0700,PARTIALLY_LOADED,1913,2000,User character length limit (200) exceeded by string 'James & Deborah have a new home. This Quote /Overview represents pieces that they were attracted to f',40,154,""QUOTELINEITEMS_20230622_054558_110_19""[""DESCRIPTION"":7],87,2000
