SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085611_493_543YVQ_14/stream_20230622_085611_4930.gz,ACCOUNTS_20230622_085611_493_14,2023-06-22 06:56:22.485 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Design Firm',853,493,""ACCOUNTS_20230622_085611_493_14""[""CUSTOMERSUBTYPEOLD"":58],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085559_188_E48L12_13/stream_20230622_085559_1880.gz,ACCOUNTS_20230622_085559_188_13,2023-06-22 06:56:09.644 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Design Firm',314,521,""ACCOUNTS_20230622_085559_188_13""[""CUSTOMERSUBTYPEOLD"":58],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085547_996_ZIY80X_12/stream_20230622_085547_9960.gz,ACCOUNTS_20230622_085547_996_12,2023-06-22 06:55:57.381 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Main Residence',414,522,""ACCOUNTS_20230622_085547_996_12""[""HOMETYPE"":74],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085535_244_F1MSI1_11/stream_20230622_085535_2440.gz,ACCOUNTS_20230622_085535_244_11,2023-06-22 06:55:46.257 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Country Club',232,527,""ACCOUNTS_20230622_085535_244_11""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085523_402_D5YFYW_10/stream_20230622_085523_4020.gz,ACCOUNTS_20230622_085523_402_10,2023-06-22 06:55:33.574 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',719,494,""ACCOUNTS_20230622_085523_402_10""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085500_540_TMYORF_8/stream_20230622_085500_5400.gz,ACCOUNTS_20230622_085500_540_8,2023-06-22 06:55:09.697 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Design Firm',525,397,""ACCOUNTS_20230622_085500_540_8""[""CUSTOMERSUBTYPEOLD"":58],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085436_755_55MBVP_6/stream_20230622_085436_7550.gz,ACCOUNTS_20230622_085436_755_6,2023-06-22 06:54:46.159 -0700,PARTIALLY_LOADED,998,1000,User character length limit (5) exceeded by string 'Design Firm',171,434,""ACCOUNTS_20230622_085436_755_6""[""CUSTOMERSUBTYPEOLD"":58],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085424_619_7UNPZB_5/stream_20230622_085424_6190.gz,ACCOUNTS_20230622_085424_619_5,2023-06-22 06:54:34.964 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'RETAIL',634,325,""ACCOUNTS_20230622_085424_619_5""[""PRICELEVEL"":42],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085412_229_B0NXVG_4/stream_20230622_085412_2290.gz,ACCOUNTS_20230622_085412_229_4,2023-06-22 06:54:22.765 -0700,PARTIALLY_LOADED,996,1000,User character length limit (5) exceeded by string 'Design Firm',518,472,""ACCOUNTS_20230622_085412_229_4""[""CUSTOMERSUBTYPEOLD"":58],4,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085342_770_P82U3H_2/stream_20230622_085342_7700.gz,ACCOUNTS_20230622_085342_770_2,2023-06-22 06:53:55.247 -0700,PARTIALLY_LOADED,997,1000,User character length limit (5) exceeded by string 'Design Firm',412,380,""ACCOUNTS_20230622_085342_770_2""[""CUSTOMERSUBTYPEOLD"":58],3,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_085327_246_LOQD6P_1/stream_20230622_085327_2460.gz,ACCOUNTS_20230622_085327_246_1,2023-06-22 06:53:40.329 -0700,PARTIALLY_LOADED,996,1000,User character length limit (5) exceeded by string '2 to 5',869,656,""ACCOUNTS_20230622_085327_246_1""[""DESIGNERSONSTAFF"":73],4,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_084705_063_7E6B1Z_85/stream_20230622_084705_0630.gz,ACCOUNTS_20230622_084705_063_85,2023-06-22 06:47:20.014 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Hospitality',374,453,""ACCOUNTS_20230622_084705_063_85""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_084435_253_JES47Q_75/stream_20230622_084435_2530.gz,ACCOUNTS_20230622_084435_253_75,2023-06-22 06:44:47.923 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Design Firm',384,550,""ACCOUNTS_20230622_084435_253_75""[""CUSTOMERSUBTYPEOLD"":58],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083831_627_FQ8I91_51/stream_20230622_083831_6270.gz,ACCOUNTS_20230622_083831_627_51,2023-06-22 06:38:44.215 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Country Club',1155,556,""ACCOUNTS_20230622_083831_627_51""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083817_930_41SUWF_50/stream_20230622_083817_9300.gz,ACCOUNTS_20230622_083817_930_50,2023-06-22 06:38:29.897 -0700,PARTIALLY_LOADED,999,1000,User character length limit (5) exceeded by string 'Closed Quote',112,427,""ACCOUNTS_20230622_083817_930_50""[""STATUSINBUSINESS"":50],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083751_293_Y75OHW_48/stream_20230622_083751_2930.gz,ACCOUNTS_20230622_083751_293_48,2023-06-22 06:38:02.365 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',530,558,""ACCOUNTS_20230622_083751_293_48""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083643_410_3A8KCO_43/stream_20230622_083643_4100.gz,ACCOUNTS_20230622_083643_410_43,2023-06-22 06:36:57.266 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',623,412,""ACCOUNTS_20230622_083643_410_43""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083629_594_89756W_42/stream_20230622_083629_5940.gz,ACCOUNTS_20230622_083629_594_42,2023-06-22 06:36:41.573 -0700,PARTIALLY_LOADED,998,1000,User character length limit (10) exceeded by string 'Hospitality',965,523,""ACCOUNTS_20230622_083629_594_42""[""SECONDARYSEGMENT"":71],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083442_692_GOTVX1_34/stream_20230622_083442_6920.gz,ACCOUNTS_20230622_083442_692_34,2023-06-22 06:34:53.217 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Multi Family',148,502,""ACCOUNTS_20230622_083442_692_34""[""SECONDARYSEGMENT"":71],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083430_948_L6OE7P_33/stream_20230622_083430_9480.gz,ACCOUNTS_20230622_083430_948_33,2023-06-22 06:34:40.736 -0700,PARTIALLY_LOADED,998,1000,"User character length limit (50) exceeded by string 'location 1 address line 1
location 1 address line 1'",704,620,""ACCOUNTS_20230622_083430_948_33""[""DEALER_ADDRESS1"":101],2,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083403_446_ZXTKBJ_31/stream_20230622_083403_4460.gz,ACCOUNTS_20230622_083403_446_31,2023-06-22 06:34:15.401 -0700,PARTIALLY_LOADED,999,1000,"User character length limit (5) exceeded by string 'E-commerce, Design, B2C'",123,1033,""ACCOUNTS_20230622_083403_446_31""[""INDUSTRYTAGS"":160],1,1000
