SCHEMA_NAME,FILE_NAME,TABLE_NAME,LAST_LOAD_TIME,STATUS,ROW_COUNT,ROW_PARSED,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POSITION,FIRST_ERROR_COL_NAME,ERROR_COUNT,ERROR_LIMIT
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083351_723_XCTUT4_30/stream_20230622_083351_7230.gz,ACCOUNTS_20230622_083351_723_30,2023-06-22 06:34:01.645 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Lack of Projects',21,785,""ACCOUNTS_20230622_083351_723_30""[""ACCOUNTSTATUS"":119],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083338_719_W9LHA8_29/stream_20230622_083338_7190.gz,ACCOUNTS_20230622_083338_719_29,2023-06-22 06:33:49.862 -0700,PARTIALLY_LOADED,999,1000,User character length limit (10) exceeded by string 'Wholesale Dealer',630,590,""ACCOUNTS_20230622_083338_719_29""[""OLDCHANNELFIELD"":67],1,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_083315_879_WM0I3P_13/stream_20230622_083315_8790.gz,CONTACTS_20230622_083315_879_13,2023-06-22 06:33:46.118 -0700,PARTIALLY_LOADED,1457,2000,User character length limit (20) exceeded by string 'LAURA FEDRO INTERIORS',4,287,""CONTACTS_20230622_083315_879_13""[""ACCOUNTNAME"":40],543,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083324_893_1G0R0K_28/stream_20230622_083324_8930.gz,ACCOUNTS_20230622_083324_893_28,2023-06-22 06:33:37.333 -0700,LOADED,1000,1000,,,,,0,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083311_219_AJWX96_27/stream_20230622_083311_2190.gz,ACCOUNTS_20230622_083311_219_27,2023-06-22 06:33:23.163 -0700,LOADED,1000,1000,,,,,0,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_083245_317_WE2U6Q_12/stream_20230622_083245_3170.gz,CONTACTS_20230622_083245_317_12,2023-06-22 06:33:14.058 -0700,PARTIALLY_LOADED,1571,2000,User character length limit (20) exceeded by string 'CLAIRE THOMPSON DESIGN',3,319,""CONTACTS_20230622_083245_317_12""[""ACCOUNTNAME"":40],429,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083255_830_O4SFIN_26/stream_20230622_083255_8300.gz,ACCOUNTS_20230622_083255_830_26,2023-06-22 06:33:09.068 -0700,LOADED,1000,1000,,,,,0,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083243_600_50OSBG_25/stream_20230622_083243_6000.gz,ACCOUNTS_20230622_083243_600_25,2023-06-22 06:32:54.118 -0700,LOADED,1000,1000,,,,,0,1000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/CONTACTS/INSERT/20230622_083212_070_OUGSIR_11/stream_20230622_083212_0700.gz,CONTACTS_20230622_083212_070_11,2023-06-22 06:32:43.850 -0700,LOAD_FAILED,0,2000,User character length limit (20) exceeded by string '2022-10-25 00:00:00.000-05:00',1,472,""CONTACTS_20230622_083212_070_11""[""CONSENTLASTUPDATED"":55],2000,2000
DBO,userszzdc36bfae-94fd-477e-8c36-caade8c6efe4/ACCOUNTS/INSERT/20230622_083228_947_IDIOAQ_24/stream_20230622_083228_9470.gz,ACCOUNTS_20230622_083228_947_24,2023-06-22 06:32:42.046 -0700,LOADED,1000,1000,,,,,0,1000
