TRNYEAR,TRNMONTH,TRNDAY,CNT
2021,8,7,120
2021,8,6,519
2021,8,5,488
2021,8,4,462
2021,8,3,528
2021,8,2,332
2021,8,1,43
2021,7,31,223
2021,7,30,649
2021,7,29,419
2021,7,28,554
2021,7,27,530
2021,7,26,536
2021,7,25,55
2021,7,24,119
2021,7,23,479
2021,7,22,470
2021,7,21,599
2021,7,20,551
2021,7,19,464
2021,7,18,57
2021,7,17,154
2021,7,16,518
2021,7,15,580
2021,7,14,465
2021,7,13,559
2021,7,12,549
2021,7,11,35
2021,7,10,97
2021,7,9,493
2021,7,8,647
2021,7,7,701
2021,7,6,609
2021,7,5,122
2021,7,4,7
2021,7,3,137
2021,7,2,480
2021,7,1,549
2021,6,31,3
2021,6,30,665
2021,6,29,704
2021,6,28,745
2021,6,27,90
2021,6,26,155
2021,6,25,642
2021,6,24,598
2021,6,23,572
2021,6,22,543
2021,6,21,542
2021,6,20,59
2021,6,19,106
2021,6,18,561
2021,6,17,597
2021,6,16,525
2021,6,15,740
2021,6,14,669
2021,6,13,62
2021,6,12,114
2021,6,11,546
2021,6,10,628
2021,6,9,661
2021,6,8,593
2021,6,7,636
2021,6,6,89
2021,6,5,161
2021,6,4,620
2021,6,3,527
2021,6,2,463
2021,6,1,393
2021,5,31,272
2021,5,30,135
2021,5,29,212
2021,5,28,711
2021,5,27,644
2021,5,26,601
2021,5,25,654
2021,5,24,661
2021,5,23,96
2021,5,22,176
2021,5,21,555
2021,5,20,663
2021,5,19,515
2021,5,18,689
2021,5,17,597
2021,5,16,117
2021,5,15,132
2021,5,14,393
2021,5,13,650
2021,5,12,403
2021,5,11,534
2021,5,10,625
2021,5,9,49
2021,5,8,171
2021,5,7,535
2021,5,6,589
2021,5,5,644
2021,5,4,435
2021,5,3,502
2021,5,2,69
2021,5,1,105
2021,4,31,3
2021,4,30,694
2021,4,29,676
2021,4,28,659
2021,4,27,857
2021,4,26,533
2021,4,25,43
2021,4,24,139
2021,4,23,590
2021,4,22,739
2021,4,21,516
2021,4,20,545
2021,4,19,494
2021,4,18,77
2021,4,17,143
2021,4,16,448
2021,4,15,455
2021,4,14,513
2021,4,13,490
2021,4,12,446
2021,4,11,55
2021,4,10,136
2021,4,9,481
2021,4,8,586
2021,4,7,579
2021,4,6,560
2021,4,5,509
2021,4,3,160
2021,4,2,329
2021,4,1,486
2021,3,31,581
2021,3,30,652
2021,3,29,522
2021,3,28,72
2021,3,27,135
2021,3,26,512
2021,3,25,287
2021,3,24,472
2021,3,23,556
2021,3,22,510
2021,3,21,277
2021,3,20,104
2021,3,19,407
2021,3,18,553
2021,3,17,310
2021,3,16,511
2021,3,15,353
2021,3,14,74
2021,3,13,127
2021,3,12,455
2021,3,11,510
2021,3,10,422
2021,3,9,622
2021,3,8,504
2021,3,7,80
2021,3,6,130
2021,3,5,487
2021,3,4,514
2021,3,3,433
2021,3,2,500
2021,3,1,301
2021,2,28,117
2021,2,27,110
2021,2,26,649
2021,2,25,497
2021,2,24,522
2021,2,23,449
2021,2,22,500
2021,2,21,106
2021,2,20,105
2021,2,19,405
2021,2,18,430
2021,2,17,409
2021,2,16,131
2021,2,15,392
2021,2,14,56
2021,2,13,156
2021,2,12,432
2021,2,11,588
2021,2,10,356
2021,2,9,393
2021,2,8,493
2021,2,7,34
2021,2,6,99
2021,2,5,411
2021,2,4,345
2021,2,3,363
2021,2,2,473
2021,2,1,267
2021,1,31,49
2021,1,30,198
2021,1,29,554
2021,1,28,311
2021,1,27,478
2021,1,26,404
2021,1,25,484
2021,1,24,32
2021,1,23,116
2021,1,22,465
2021,1,21,446
2021,1,20,440
2021,1,19,436
2021,1,18,363
2021,1,17,53
2021,1,16,138
2021,1,15,429
2021,1,14,602
2021,1,13,332
2021,1,12,378
2021,1,11,516
2021,1,10,94
2021,1,9,142
2021,1,8,373
2021,1,7,338
2021,1,6,380
2021,1,5,384
2021,1,4,414
2021,1,3,52
2021,1,2,133
2021,1,1,2
2020,12,31,398
2020,12,30,480
2020,12,29,430
2020,12,28,529
2020,12,27,57
2020,12,26,138
2020,12,23,483
2020,12,22,396
2020,12,21,584
2020,12,20,69
2020,12,19,130
2020,12,18,584
2020,12,17,481
2020,12,16,527
2020,12,15,457
2020,12,14,539
2020,12,13,118
2020,12,12,206
2020,12,11,445
2020,12,10,434
2020,12,9,460
2020,12,8,452
2020,12,7,462
2020,12,6,193
2020,12,5,198
2020,12,4,571
2020,12,3,367
2020,12,2,506
2020,12,1,487
2020,11,30,672
2020,11,29,116
2020,11,28,210
2020,11,27,249
2020,11,25,469
2020,11,24,574
2020,11,23,450
2020,11,22,65
2020,11,21,144
2020,11,20,194
2020,11,19,157
2020,11,18,346
2020,11,17,496
2020,11,16,374
2020,11,15,84
2020,11,14,165
2020,11,13,567
2020,11,12,468
2020,11,11,368
2020,11,10,485
2020,11,9,422
2020,11,8,82
2020,11,7,148
2020,11,6,555
2020,11,5,567
2020,11,4,415
2020,11,3,341
2020,11,2,324
2020,11,1,53
2020,10,31,153
2020,10,30,363
2020,10,29,460
2020,10,28,395
2020,10,27,593
2020,10,26,498
2020,10,25,85
2020,10,24,145
2020,10,23,476
2020,10,22,373
2020,10,21,423
2020,10,20,480
2020,10,19,480
2020,10,18,53
2020,10,17,150
2020,10,16,329
2020,10,15,431
2020,10,14,433
2020,10,13,397
2020,10,12,426
2020,10,11,37
2020,10,10,149
2020,10,9,450
2020,10,8,418
2020,10,7,408
2020,10,6,412
2020,10,5,427
2020,10,4,42
2020,10,3,150
2020,10,2,457
2020,10,1,326
2020,9,31,1
2020,9,30,767
2020,9,29,628
2020,9,28,448
2020,9,27,56
2020,9,26,401
2020,9,25,558
2020,9,24,590
2020,9,23,469
2020,9,22,500
2020,9,21,461
2020,9,20,71
2020,9,19,156
2020,9,18,505
2020,9,17,500
2020,9,16,414
2020,9,15,423
2020,9,14,613
2020,9,13,102
2020,9,12,196
2020,9,11,636
2020,9,10,484
2020,9,9,517
2020,9,8,470
2020,9,7,322
2020,9,6,131
2020,9,5,236
2020,9,4,524
2020,9,3,384
2020,9,2,463
2020,9,1,485
2020,8,31,744
2020,8,30,102
2020,8,29,206
2020,8,28,507
2020,8,27,557
2020,8,26,498
2020,8,25,510
2020,8,24,551
2020,8,23,140
2020,8,22,200
2020,8,21,497
2020,8,20,459
2020,8,19,539
2020,8,18,472
2020,8,17,470
2020,8,16,178
2020,8,15,259
2020,8,14,637
2020,8,13,643
2020,8,12,378
2020,8,11,371
2020,8,10,521
2020,8,9,71
2020,8,8,123
2020,8,7,407
2020,8,6,404
2020,8,5,318
2020,8,4,410
2020,8,3,312
2020,8,2,61
2020,8,1,136
2020,7,31,458
2020,7,30,520
2020,7,29,433
2020,7,28,495
2020,7,27,354
2020,7,26,67
2020,7,25,159
2020,7,24,566
2020,7,23,458
2020,7,22,407
2020,7,21,537
2020,7,20,453
2020,7,19,114
2020,7,18,144
2020,7,17,570
2020,7,16,568
2020,7,15,503
2020,7,14,518
2020,7,13,369
2020,7,12,74
2020,7,11,130
2020,7,10,517
2020,7,9,512
2020,7,8,492
2020,7,7,379
2020,7,6,487
2020,7,5,82
2020,7,4,87
2020,7,3,181
2020,7,2,460
2020,7,1,265
2020,6,30,670
2020,6,29,552
2020,6,28,60
2020,6,27,184
2020,6,26,636
2020,6,25,669
2020,6,24,495
2020,6,23,422
2020,6,22,641
2020,6,21,56
2020,6,20,179
2020,6,19,588
2020,6,18,480
2020,6,17,370
2020,6,16,530
2020,6,15,504
2020,6,14,105
2020,6,13,246
2020,6,12,665
2020,6,11,610
2020,6,10,416
2020,6,9,426
2020,6,8,386
2020,6,7,62
2020,6,6,135
2020,6,5,530
2020,6,4,490
2020,6,3,402
2020,6,2,463
2020,6,1,253
2020,5,31,125
2020,5,30,221
2020,5,29,501
2020,5,28,659
2020,5,27,433
2020,5,26,466
2020,5,25,218
2020,5,24,127
2020,5,23,251
2020,5,22,620
2020,5,21,486
2020,5,20,406
2020,5,19,446
2020,5,18,423
2020,5,17,84
2020,5,16,178
2020,5,15,473
2020,5,14,494
2020,5,13,464
2020,5,12,424
2020,5,11,494
2020,5,10,65
2020,5,9,192
2020,5,8,497
2020,5,7,563
2020,5,6,475
2020,5,5,230
2020,5,4,470
2020,5,3,29
2020,5,2,115
2020,5,1,286
2020,4,30,559
2020,4,29,315
2020,4,28,268
2020,4,27,330
2020,4,26,45
2020,4,25,80
2020,4,24,265
2020,4,23,343
2020,4,22,340
2020,4,21,283
2020,4,20,335
2020,4,19,5
2020,4,18,17
2020,4,17,269
2020,4,16,244
2020,4,15,226
2020,4,14,230
2020,4,13,265
2020,4,11,34
2020,4,10,242
2020,4,9,255
2020,4,8,186
2020,4,7,229
2020,4,6,231
2020,4,5,8
2020,4,4,16
2020,4,3,273
2020,4,2,158
2020,4,1,209
2020,3,31,262
2020,3,30,184
2020,3,29,53
2020,3,28,9
2020,3,27,264
2020,3,26,230
2020,3,25,155
2020,3,24,254
2020,3,23,294
2020,3,22,15
2020,3,21,30
2020,3,20,377
2020,3,19,307
2020,3,18,370
2020,3,17,348
2020,3,16,306
2020,3,15,49
2020,3,14,61
2020,3,13,366
2020,3,12,443
2020,3,11,373
2020,3,10,320
2020,3,9,403
2020,3,8,58
2020,3,7,105
2020,3,6,366
2020,3,5,259
2020,3,4,308
2020,3,3,324
2020,3,2,233
2020,3,1,64
2020,2,29,132
2020,2,28,359
2020,2,27,342
2020,2,26,311
2020,2,25,276
2020,2,24,290
2020,2,23,90
2020,2,22,121
2020,2,21,309
2020,2,20,317
2020,2,19,384
2020,2,18,335
2020,2,17,452
2020,2,16,119
2020,2,15,153
2020,2,14,364
2020,2,13,455
2020,2,12,361
2020,2,11,316
2020,2,10,279
2020,2,9,29
2020,2,8,71
2020,2,7,355
2020,2,6,382
2020,2,5,344
2020,2,4,292
2020,2,3,317
2020,2,2,22
2020,2,1,93
2020,1,31,410
2020,1,30,313
2020,1,29,341
2020,1,28,364
2020,1,27,393
2020,1,26,42
2020,1,25,99
2020,1,24,311
2020,1,23,345
2020,1,22,363
2020,1,21,295
2020,1,20,309
2020,1,19,33
2020,1,18,56
2020,1,17,281
2020,1,16,358
2020,1,15,251
2020,1,14,302
2020,1,13,292
2020,1,12,33
2020,1,11,94
2020,1,10,293
2020,1,9,307
2020,1,8,299
2020,1,7,291
2020,1,6,276
2020,1,5,81
2020,1,4,161
2020,1,3,301
2020,1,2,238
2019,12,31,321
2019,12,30,378
2019,12,29,50
2019,12,28,139
2019,12,27,301
2019,12,26,411
2019,12,24,36
2019,12,23,282
2019,12,22,59
2019,12,21,127
2019,12,20,432
2019,12,19,319
2019,12,18,174
2019,12,17,358
2019,12,16,267
2019,12,15,50
2019,12,14,136
2019,12,13,355
2019,12,12,462
2019,12,11,336
2019,12,10,412
2019,12,9,492
2019,12,8,150
2019,12,7,109
2019,12,6,412
2019,12,5,367
2019,12,4,458
2019,12,3,355
2019,12,2,303
2019,12,1,62
2019,11,30,150
2019,11,29,181
2019,11,27,457
2019,11,26,523
2019,11,25,377
2019,11,24,135
2019,11,23,183
2019,11,22,516
2019,11,21,450
2019,11,20,421
2019,11,19,440
2019,11,18,422
2019,11,17,58
2019,11,16,130
2019,11,15,131
2019,11,14,115
2019,11,13,288
2019,11,12,291
2019,11,11,439
2019,11,10,61
2019,11,9,152
2019,11,8,387
2019,11,7,404
2019,11,6,427
2019,11,5,484
2019,11,4,377
2019,11,3,65
2019,11,2,133
2019,11,1,275
2019,10,31,430
2019,10,30,364
2019,10,29,366
2019,10,28,379
2019,10,27,40
2019,10,26,84
2019,10,25,442
2019,10,24,390
2019,10,23,402
2019,10,22,338
2019,10,21,423
2019,10,20,28
2019,10,19,89
2019,10,18,374
2019,10,17,351
2019,10,16,297
2019,10,15,323
2019,10,14,463
2019,10,13,44
2019,10,12,113
2019,10,11,353
2019,10,10,332
2019,10,9,364
2019,10,8,311
2019,10,7,319
2019,10,6,32
2019,10,5,101
2019,10,4,362
2019,10,3,395
2019,10,2,322
2019,10,1,307
2019,9,30,453
2019,9,29,64
2019,9,28,122
2019,9,27,385
2019,9,26,434
2019,9,25,404
2019,9,24,400
2019,9,23,406
2019,9,22,58
2019,9,21,120
2019,9,20,298
2019,9,19,430
2019,9,18,283
2019,9,17,306
2019,9,16,351
2019,9,15,61
2019,9,14,115
2019,9,13,444
2019,9,12,371
2019,9,11,424
2019,9,10,351
2019,9,9,585
2019,9,8,94
2019,9,7,168
2019,9,6,358
2019,9,5,458
2019,9,4,480
2019,9,3,292
2019,9,2,158
2019,9,1,79
2019,8,31,164
2019,8,30,405
2019,8,29,531
2019,8,28,399
2019,8,27,365
2019,8,26,396
2019,8,25,54
2019,8,24,118
2019,8,23,421
2019,8,22,333
2019,8,21,424
2019,8,20,354
2019,8,19,327
2019,8,18,112
2019,8,17,160
2019,8,16,375
2019,8,15,491
2019,8,14,343
2019,8,13,389
2019,8,12,371
2019,8,11,36
2019,8,10,110
2019,8,9,425
2019,8,8,358
2019,8,7,471
2019,8,6,425
2019,8,5,351
2019,8,4,44
2019,8,3,100
2019,8,2,356
2019,8,1,321
2019,7,31,555
2019,7,30,322
2019,7,29,323
2019,7,28,66
2019,7,27,117
2019,7,26,485
2019,7,25,439
2019,7,24,393
2019,7,23,420
2019,7,22,474
2019,7,21,49
2019,7,20,88
2019,7,19,412
2019,7,18,437
2019,7,17,304
2019,7,16,240
2019,7,15,463
2019,7,14,38
2019,7,13,140
2019,7,12,361
2019,7,11,468
2019,7,10,338
2019,7,9,367
2019,7,8,348
2019,7,7,40
2019,7,6,188
2019,7,5,306
2019,7,3,386
2019,7,2,303
2019,7,1,431
2019,6,30,143
2019,6,29,186
2019,6,28,449
2019,6,27,465
2019,6,26,421
2019,6,25,343
2019,6,24,459
2019,6,23,80
2019,6,22,169
2019,6,21,429
2019,6,20,387
2019,6,19,384
2019,6,18,488
2019,6,17,365
2019,6,16,30
2019,6,15,114
2019,6,14,456
2019,6,13,415
2019,6,12,385
2019,6,11,370
2019,6,10,338
2019,6,9,46
2019,6,8,104
2019,6,7,461
2019,6,6,402
2019,6,5,435
2019,6,4,426
2019,6,3,463
2019,6,2,95
2019,6,1,154
2019,5,31,764
2019,5,30,584
2019,5,29,478
2019,5,28,331
2019,5,27,159
2019,5,26,103
2019,5,25,134
2019,5,24,530
2019,5,23,430
2019,5,22,463
2019,5,21,456
2019,5,20,412
2019,5,19,80
2019,5,18,131
2019,5,17,379
2019,5,16,426
2019,5,15,418
2019,5,14,362
2019,5,13,429
2019,5,12,36
2019,5,11,123
2019,5,10,479
2019,5,9,451
2019,5,8,449
2019,5,7,344
2019,5,6,341
2019,5,5,61
2019,5,4,105
2019,5,3,399
2019,5,2,480
2019,5,1,220
2019,4,30,700
2019,4,29,513
2019,4,28,61
2019,4,27,134
2019,4,26,397
2019,4,25,511
2019,4,24,429
2019,4,23,385
2019,4,22,432
2019,4,20,145
2019,4,19,402
2019,4,18,526
2019,4,17,508
2019,4,16,437
2019,4,15,480
2019,4,14,60
2019,4,13,122
2019,4,12,337
2019,4,11,385
2019,4,10,431
2019,4,9,389
2019,4,8,290
2019,4,7,89
2019,4,6,118
2019,4,5,397
2019,4,4,356
2019,4,3,380
2019,4,2,280
2019,4,1,229
2019,3,31,83
2019,3,30,286
2019,3,29,425
2019,3,28,445
2019,3,27,405
2019,3,26,361
2019,3,25,277
2019,3,24,53
2019,3,23,185
2019,3,22,361
2019,3,21,346
2019,3,20,409
2019,3,19,398
2019,3,18,301
2019,3,17,58
2019,3,16,72
2019,3,15,355
2019,3,14,307
2019,3,13,329
2019,3,12,372
2019,3,11,324
2019,3,10,56
2019,3,9,120
2019,3,8,378
2019,3,7,300
2019,3,6,322
2019,3,5,300
2019,3,4,293
2019,3,3,68
2019,3,2,55
2019,3,1,295
2019,2,28,300
2019,2,27,312
2019,2,26,295
2019,2,25,253
2019,2,24,33
2019,2,23,71
2019,2,22,263
2019,2,21,313
2019,2,20,283
2019,2,19,388
2019,2,18,313
2019,2,17,87
2019,2,16,181
2019,2,15,370
2019,2,14,452
2019,2,13,244
2019,2,12,317
2019,2,11,300
2019,2,10,25
2019,2,9,58
2019,2,8,321
2019,2,7,332
2019,2,6,353
2019,2,5,388
2019,2,4,303
2019,2,3,19
2019,2,2,57
2019,2,1,297
2019,1,31,308
2019,1,30,313
2019,1,29,375
2019,1,28,266
2019,1,27,131
2019,1,26,149
2019,1,25,493
2019,1,24,318
2019,1,23,380
2019,1,22,303
2019,1,21,209
2019,1,20,55
2019,1,19,105
2019,1,18,377
2019,1,17,241
2019,1,16,258
2019,1,15,374
2019,1,14,341
2019,1,13,86
2019,1,12,145
2019,1,11,373
2019,1,10,467
2019,1,9,463
2019,1,8,302
2019,1,7,240
2019,1,6,26
2019,1,5,96
2019,1,4,357
2019,1,3,287
2019,1,2,367
2018,12,31,236
2018,12,30,46
2018,12,29,89
2018,12,28,364
2018,12,27,322
2018,12,26,374
2018,12,24,21
2018,12,23,44
2018,12,22,97
2018,12,21,343
2018,12,20,339
2018,12,19,338
2018,12,18,423
2018,12,17,300
2018,12,16,65
2018,12,15,81
2018,12,14,163
2018,12,13,482
2018,12,12,329
2018,12,11,291
2018,12,10,373
2018,12,9,44
2018,12,8,115
2018,12,7,476
2018,12,6,516
2018,12,5,435
2018,12,4,406
2018,12,3,388
2018,12,2,71
2018,12,1,175
2018,11,30,529
2018,11,29,480
2018,11,28,492
2018,11,27,437
2018,11,26,370
2018,11,25,49
2018,11,24,84
2018,11,23,131
2018,11,21,360
2018,11,20,456
2018,11,19,393
2018,11,18,102
2018,11,17,208
2018,11,16,171
2018,11,15,249
2018,11,14,438
2018,11,13,331
2018,11,12,377
2018,11,11,60
2018,11,10,97
2018,11,9,504
2018,11,8,393
2018,11,7,396
2018,11,6,392
2018,11,5,365
2018,11,4,50
2018,11,3,119
2018,11,2,379
2018,11,1,189
2018,10,31,581
2018,10,30,373
2018,10,29,400
2018,10,28,35
2018,10,27,83
2018,10,26,499
2018,10,25,381
2018,10,24,376
2018,10,23,334
2018,10,22,308
2018,10,21,32
2018,10,20,89
2018,10,19,367
2018,10,18,423
2018,10,17,341
2018,10,16,404
2018,10,15,492
2018,10,14,36
2018,10,13,84
2018,10,12,430
2018,10,11,370
2018,10,10,406
2018,10,9,495
2018,10,8,276
2018,10,7,30
2018,10,6,79
2018,10,5,366
2018,10,4,347
