moment;pid;root_pid;father_pid;project;job;context;priority;type;origin;message;code
2022-07-12 13:22:09;NASNi4;habf6I;habf6I;LOCAL_PROJECT;Sugar_eCat_Quote_Line_Items_v6_Prod_QuoteDetail_Fix;Default;4;tWarn;tWarn_1;The Quote Line Items integration job started;0
2022-07-12 13:22:09;NASNi4;habf6I;habf6I;LOCAL_PROJECT;Sugar_eCat_Quote_Line_Items_v6_Prod_QuoteDetail_Fix;Default;4;tWarn;tWarn_2;The Quote Line Items integration job had no input and stopped!;0
2022-07-12 13:55:19;NASNi4;habf6I;habf6I;LOCAL_PROJECT;Sugar_eCat_Quote_Line_Items_v6_Prod_QuoteDetail_Fix;Default;4;tWarn;tWarn_3;The Quote Line Items integration job finished successfully!;0
