moment;pid;root_pid;father_pid;project;job;context;priority;type;origin;message;code
2022-07-12 13:57:58;LaG58J;habf6I;habf6I;LOCAL_PROJECT;Sugar_SysPro_Order_Line_Items_v3_Prod;Default;4;tWarn;tWarn_1;The Order Line Items integration job started;0
2022-07-12 13:57:58;LaG58J;habf6I;habf6I;LOCAL_PROJECT;Sugar_SysPro_Order_Line_Items_v3_Prod;Default;4;tWarn;tWarn_2;The Order Line Items integration job had no input and stopped!;0
2022-07-12 14:03:01;LaG58J;habf6I;habf6I;LOCAL_PROJECT;Sugar_SysPro_Order_Line_Items_v3_Prod;Default;4;tWarn;tWarn_3;The Order Line Items integration job finished successfully!;0
